Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BNDX,Vanguard Total International Bond ETF,53.94,$8B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,55.1,$10.61B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vxus
VEAC,Vantage Energy Acquisition Corp.,9.75,$156.16M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/veac
VEACU,Vantage Energy Acquisition Corp.,10.08,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/veacu
VEACW,Vantage Energy Acquisition Corp.,1.2,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/veacw
VREX,Varex Imaging Corporation,35.47,$1.34B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/vrex
VRNS,"Varonis Systems, Inc.",52.05,$1.45B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns
VDSI,"VASCO Data Security International, Inc.",13.4,$538.28M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/vdsi
VBLT,Vascular Biogenics Ltd.,6.3,$171.51M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vblt
VBIV,"VBI Vaccines, Inc.",3.79,$242.86M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vbiv
VECO,Veeco Instruments Inc.,14.75,$712.45M,1994,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/veco
VEON,VEON Ltd.,3.47,$6.07B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/veon
VRA,"Vera Bradley, Inc.",9.56,$339.21M,2010,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/vra
VCYT,"Veracyte, Inc.",5.65,$192.33M,2013,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/vcyt
VSTM,"Verastem, Inc.",3.31,$139.4M,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vstm
VCEL,Vericel Corporation,7.15,$249.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vcel
VRNT,Verint Systems Inc.,37.9,$2.42B,2002,Technology,EDP Services,https://www.nasdaq.com/symbol/vrnt
VRSN,"VeriSign, Inc.",105.62,$10.41B,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/vrsn
VRSK,"Verisk Analytics, Inc.",92.28,$15.2B,2009,Technology,EDP Services,https://www.nasdaq.com/symbol/vrsk
VBTX,"Veritex Holdings, Inc.",27.07,$652.66M,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/vbtx
VERI,"Veritone, Inc.",14.24,$228.94M,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/veri
VRML,"Vermillion, Inc.",1.5,$90M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vrml
VRNA,Verona Pharma plc,11.8525,$155.59M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vrna
VSAR,"Versartis, Inc.",1.8,$64.46M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vsar
VTNR,"Vertex Energy, Inc",0.94,$30.7M,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/vtnr
VRTX,Vertex Pharmaceuticals Incorporated,151.6,$38.34B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vrtx
VERU,Veru Inc.,1.35,$72.24M,n/a,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/veru
VIA,Viacom Inc.,39,$15.69B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/via
VIAB,Viacom Inc.,32.71,$11.37B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/viab
VSAT,"ViaSat, Inc.",70.79,$4.12B,1996,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/vsat
VIAV,Viavi Solutions Inc.,9.77,$2.22B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/viav
VICL,Vical Incorporated,1.43,$28.11M,1993,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vicl
VICR,Vicor Corporation,17,$668.77M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/vicr
VCTR,"Victory Capital Holdings, Inc.",11.6,$775.1M,2018,n/a,n/a,https://www.nasdaq.com/symbol/vctr
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,34.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ciz
VSDA,VictoryShares Dividend Accelerator ETF,27.951,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vsda
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,26.18,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cey
CEZ,VictoryShares Emerging Market Volatility Wtd ETF,29.2882,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cez
CID,VictoryShares International High Div Volatility Wtd ETF,35.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cid
CIL,VictoryShares International Volatility Wtd ETF,39.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cil
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,47.18,$33.03M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cfo
CFA,VictoryShares US 500 Volatility Wtd ETF,47.22,$9.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cfa
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,42.73,$23.5M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csf
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,44.22,$28.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cdc
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,43.09,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cdl
VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,27.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vsmv
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,41.79,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csb
CSA,VictoryShares US Small Cap Volatility Wtd ETF,44.25,$2.27B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csa
